text,label
"The product arrived on time and works perfectly. Highly recommend!",1
"Terrible experience. The item broke after just two days of use.",0
"Customer service was incredibly helpful and resolved my issue immediately.",1
"I am very disappointed with the quality. It feels cheap and flimsy.",0
"Five stars! This is the best purchase I have made all year.",1
"Do not buy this. It is a complete waste of money and time.",0
"The battery life is amazing. It lasts all day without needing a charge.",1
"The software is buggy and crashes constantly. Very frustrating.",0
"Beautiful design and very intuitive to use. I love it.",1
"Shipping took three weeks longer than promised, and the box was damaged.",0